Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
16793,Stardust,Neil Gaiman,"Gaiman, Neil",,"=""0061142026""","=""9780061142024""",4,4.10,Harper Perennial,Paperback,248,2006,1999,2022/09/09,2022/08/20,,,read,,,,1,0
54120408,Klara and the Sun,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""059331817X""","=""9780593318171""",0,3.74,Alfred A. Knopf,Hardcover,303,2021,2021,,2022/09/09,to-read,to-read (#172),to-read,,,,0,0
38452936,Superman Smashes the Klan,Gene Luen Yang,"Yang, Gene Luen",Gurihiru,"=""1401298419""","=""9781401298418""",0,4.50,DC Zoom,Hardcover,240,2020,2020,,2022/09/02,to-read,to-read (#171),to-read,,,,0,0
60791978,Les Innocents,Mahir Guven,"Guven, Mahir",,"=""""","=""""",0,4.04,Grasset,Kindle Edition,482,2022,,,2022/08/27,to-read,to-read (#170),to-read,,,,0,0
58772746,Two Nights in Lisbon,Chris  Pavone,"Pavone, Chris",,"=""0374604762""","=""9780374604769""",0,3.71,MCD,Hardcover,436,2022,2022,,2022/08/22,to-read,to-read (#169),to-read,,,,0,0
40044460,Split Tooth,Tanya Tagaq,"Tagaq, Tanya",,"=""0143198041""","=""9780143198048""",0,3.90,Viking,Kindle Edition,202,2018,2018,,2022/08/22,to-read,to-read (#168),to-read,,,,0,0
11275,The Wind-Up Bird Chronicle,Haruki Murakami,"Murakami, Haruki",Jay Rubin,"=""0965341984""","=""9780965341981""",0,4.14,Knopf,Paperback,607,1997,1994,,2022/08/22,to-read,to-read (#167),to-read,,,,0,0
58446227,Sea of Tranquility,Emily St. John Mandel,"Mandel, Emily St. John",,"=""0593321448""","=""9780593321447""",0,4.06,Knopf,Hardcover,259,2022,2022,,2022/08/22,to-read,to-read (#166),to-read,,,,0,0
58537371,Nightcrawling,Leila Mottley,"Mottley, Leila",,"=""0593318935""","=""9780593318935""",0,3.96,Knopf,Hardcover,277,2022,2022,,2022/08/22,to-read,to-read (#165),to-read,,,,0,0
58784475,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""0735243344""","=""9780735243347""",0,4.13,Knopf,Hardcover,401,2022,2022,,2022/08/22,to-read,to-read (#164),to-read,,,,0,0
